X,Y,Z
9.657139053,2.012604821,0.75
20.56512308,2.12968379,0.75
40.37017259,2.225433985,0.75
77.42636827,2.310924696,0.75
101.16971,2.340145279,0.75
0.509413801,2.012604821,0.8
0.890215085,2.143105931,0.8
1.401085526,2.239459584,0.8
2.915053063,2.399699558,0.8
5.656206448,2.555300625,0.8
8.596930867,2.653463261,0.8
18.52152609,2.807822795,0.8
33.51602651,2.915686146,0.8
65.79332247,3.046774864,0.8
100,3.124312137,0.8
0.1,2.076830597,0.85
0.178864953,2.267776522,0.85
0.422924287,2.555300625,0.85
0.756463328,2.738139962,0.85
1.417474163,2.95255366,0.85
2.337151518,3.104744761,0.85
3.721406147,3.24433352,0.85
5.994842503,3.390198164,0.85
11.63205818,3.587415671,0.85
21.79635328,3.772331105,0.85
44.82446879,3.941934425,0.85
80.175265,4.119163079,0.85
100,4.171248006,0.85
0.10116971,2.653463261,0.9
0.22834203,3.0276931,0.9
0.453487851,3.326898456,0.9
0.681292069,3.520433638,0.9
1.110336318,3.748705227,0.9
2.129525419,4.042252583,0.9
3.990341832,4.3043599,0.9
6.973235677,4.554756806,0.9
11.49756995,4.729729148,0.9
20.32735202,5.004870998,0.9
36.35850861,5.197134611,0.9
67.34150658,5.430796837,0.9
100,5.569005005,0.9
0.098843814,3.390198164,0.95
0.148496826,3.632776897,0.95
0.233715152,3.917246331,0.95
0.41320124,4.277401958,0.95
0.811130831,4.700107144,0.95
1.291549665,5.004870998,0.95
2.032735202,5.262849994,0.95
4.1320124,5.674964473,0.95
7.220809018,6.005093361,0.95
15.02338084,6.434775599,0.95
28.81349628,6.766459862,0.95
50.94138015,7.070678665,0.95
98.84381404,7.38857509,0.95
0.1,4.358786556,1
0.256502091,5.164585275,1
0.497702356,5.710730429,1
0.730527154,6.081025011,1
1.232846739,6.475330196,1
2.129525419,6.895202876,1
5.52617002,7.672409408,1
9.218207179,8.11873537,1
17.88649529,8.591025389,1
34.70595828,9.090789866,1
71.37323038,9.559379934,1
98.84381404,9.802656276,1
0.1,5.60410316,1.05
0.191791026,6.314629402,1.05
0.301854726,6.852018643,1.05
0.453487851,7.296316516,1.05
0.792482898,7.91724955,1.05
1.261856883,8.430619013,1.05
2.230924374,9.090789866,1.05
4.1320124,9.802656276,1.05
7.833203223,10.43827908,1.05
14.50828778,11.11511688,1.05
33.51602651,11.91043646,1.05
77.42636827,12.76266351,1.05
98.84381404,13.00549414,1.05
0.1,7.160084153,1.1
0.220513074,8.377818562,1.1
0.355226249,9.033854805,1.1
0.559081018,9.74126284,1.1
1.035503366,10.63688449,1.1
2.032735202,11.68805207,1.1
4.641588834,12.92404153,1.1
8.596930867,13.84879503,1.1
16.68100537,14.83971738,1.1
29.8364724,15.70298612,1.1
71.37323038,16.82658134,1.1
98.84381404,17.25480045,1.1
0.098843814,9.090789866,1.15
0.2009233,10.5040654,1.15
0.363585086,11.68805207,1.15
0.730527154,13.16994265,1.15
1.30665705,14.38080062,1.15
2.20513074,15.50690837,1.15
5.153724656,17.14673469,1.15
10.84809639,18.72322298,1.15
22.5701972,20.1893699,1.15
47.50810162,21.63397919,1.15
100,22.89248953,1.15
0.098843814,11.61485051,1.2
0.20327352,13.50510408,1.2
0.347059583,15.0273588,1.2
0.552617002,16.30622101,1.2
0.839928706,17.47297949,1.2
1.20450354,18.37363441,1.2
1.917910262,19.81240633,1.2
3.593813664,21.63397919,1.2
5.925530976,22.89248953,1.2
8.596930867,23.92173169,1.2
14.340545,25.15479131,1.2
23.64489413,26.61811735,1.2
40.37017259,27.81486306,1.2
73.05271543,29.43293306,1.2
97.70099573,30.1819708,1.2
0.10116971,14.83971738,1.25
0.196304065,17.14673469,1.25
0.331285189,19.07946306,1.25
0.503524031,20.57350583,1.25
0.747717205,22.04560118,1.25
1.097498765,23.62302933,1.25
2.009233003,25.79495476,1.25
3.511191734,27.81486306,1.25
5.153724656,29.2485964,1.25
9.326033469,31.34142021,1.25
17.88649529,33.58399178,1.25
30.89576762,35.53766847,1.25
52.14008288,37.36947833,1.25
83.99287059,38.80503799,1.25
97.70099573,39.2957099,1.25
0.098260163,18.81220169,1.3
0.201888368,22.07575933,1.3
0.474569734,26.28498161,1.3
0.807601226,28.78609083,1.3
1.383619417,31.52518946,1.3
2.246230699,33.65733421,1.3
3.980043022,36.5928915,1.3
7.195971136,39.21008092,1.3
11.52608004,41.55868025,1.3
20.01459476,44.04795561,1.3
34.52146562,46.51690001,1.3
54.92356238,48.59132832,1.3
85.63670181,50.39051268,1.3
97.97490527,51.12870338,1.3
0.100264159,24.00118384,1.35
0.159520018,26.76718375,1.35
0.245397951,29.52811307,1.35
0.429001537,32.69246826,1.35
0.673415066,35.80327256,1.35
0.981649847,38.08603254,1.35
1.604416278,41.10784836,1.35
3.187404264,45.34796062,1.35
4.646339332,47.71597129,1.35
6.911191658,50.20763635,1.35
10.63184605,53.21496554,1.35
17.73116919,55.99378083,1.35
27.27678097,58.4908321,1.35
40.57281391,61.09923975,1.35
62.83673596,63.59234096,1.35
84.49177633,65.23156776,1.35
97.97490527,66.42825118,1.35
0.098923671,32.93106013,1.4
0.136644461,32.81154733,1.4
0.197853192,35.54387096,1.4
0.321203871,39.49623877,1.4
0.494124643,42.78521827,1.4
0.755039218,46.17987612,1.4
1.064215438,49.12423192,1.4
1.551326923,52.25631518,1.4
2.128493805,54.7855202,1.4
3.597879193,59.3476876,1.4
5.801783804,63.13160221,1.4
8.688129788,66.42825118,1.4
13.09826597,69.39062926,1.4
21.69800241,73.81486593,1.4
32.93290215,76.82681718,1.4
51.69564809,80.25292091,1.4
70.45313116,82.62145761,1.4
97.31776049,85.05989788,1.4
0.098260163,44.3694206,1.45
0.138496093,44.3694206,1.45
0.187482654,44.3694206,1.45
0.28841433,48.94595116,1.45
0.481000502,54.19120249,1.45
0.715463598,58.06705476,1.45
1.115549322,62.90248616,1.45
1.670527139,67.15677323,1.45
2.323100981,70.40716023,1.45
3.874331545,76.27019211,1.45
6.000331869,80.5452342,1.45
8.746796974,84.44362255,1.45
13.18671289,88.8531571,1.45
18.83831643,92.81557731,1.45
30.37785131,97.30785012,1.45
48.33108273,101.6473087,1.45
69.51120342,105.0284338,1.45
97.97490527,108.1281801,1.45
0.097601105,59.78081108,1.5
0.141320694,59.56385565,1.5
0.201888368,59.56385565,1.5
0.247055017,59.56385565,1.5
0.343564459,64.05644221,1.5
0.500820394,68.63787416,1.5
0.715463598,73.54697837,1.5
1.057077451,78.80719054,1.5
1.499994269,83.83181226,1.5
2.128493805,88.20939888,1.5
3.502318135,95.20809471,1.5
5.57217908,100.9108543,1.5
8.688129788,107.3447707,1.5
13.18671289,112.5402563,1.5
20.01459476,117.1323633,1.5
31.4174391,122.8015683,1.5
48.0069128,127.3485249,1.5
68.58186884,132.063841,1.5
97.97490527,135.4680652,1.5
0.097601105,79.0942379,1.55
0.186225156,79.0942379,1.55
0.334439254,79.0942379,1.55
0.514485322,86.93584111,1.55
0.818544815,94.51829374,1.55
1.185205042,100.9108543,1.55
1.762931765,107.3447707,1.55
2.435158927,112.5402563,1.55
4.006918532,121.0285725,1.55
6.205674627,128.2779231,1.55
9.107213585,134.486573,1.55
15.60289551,142.5420288,1.55
23.36522453,148.358332,1.55
32.71201207,153.29322,1.55
50.32259175,159.5482162,1.55
76.89462743,165.4557859,1.55
96.66502337,168.4910984,1.55
0.097601105,104.2674826,1.6
0.163872535,103.8890769,1.6
0.267834569,103.8890769,1.6
0.431898399,103.5120446,1.6
0.677962347,113.3615827,1.6
1.071401625,122.8015683,1.6
1.551326923,130.1571175,1.6
2.085951241,136.4567204,1.6
3.549777112,146.748929,1.6
5.351660929,154.4119644,1.6
7.906929314,163.0669531,1.6
12.32846739,171.5820942,1.6
19.88035134,179.8866655,1.6
29.97171264,187.226784,1.6
43.39728786,194.1592041,1.6
62.41527261,199.8895027,1.6
0.097601105,133.9984968,1.65
0.133913325,133.9984968,1.65
0.183735406,133.9984968,1.65
0.273297002,133.9984968,1.65
0.387808799,133.9984968,1.65
0.56152447,134.486573,1.65
0.875527762,146.748929,1.65
1.450360187,158.9691868,1.65
2.276668771,169.7207579,1.65
3.409295216,179.2338241,1.65
4.87046185,187.908739,1.65
6.374997004,194.1592041,1.65
8.344298356,199.8895027,1.65
0.097601105,170.9593916,1.7
0.153207037,171.5820942,1.7
0.238880086,170.3389489,1.7
0.334439254,170.9593916,1.7
0.528523099,171.5820942,1.7
0.730055337,172.2070649,1.7
1.071401625,184.523624,1.7
1.430969502,193.4545651,1.7
1.860447722,200.6175804,1.7
